Influenciador,Produto,Dispositivo,Link de checkout
"extryze-new","VIP","Android","https://lastlink.com/p/C5103DF16/checkout-payment?af=A7F57176C"
"extryze-new","VIP","iPhone","https://lastlink.com/p/C5222CB0B/checkout-payment?af=A9B3AFF59"
"extryze-new","VIP","Emulador","https://lastlink.com/p/CA5F2E95F/checkout-payment?af=A41FD5E75"
"extryze-new","PACK COMPLETO","Link único","https://lastlink.com/p/C25E963F9/checkout-payment?af=AEAD2EB33"
"extryze-new","SENSI permanente","Link único","https://lastlink.com/p/CEF1E1D2C/checkout-payment?af=AA5DFA544"
"faewl-new","VIP","Android","https://lastlink.com/p/C774224C2/checkout-payment?af=A343AEE66"
"faewl-new","VIP","iPhone","https://lastlink.com/p/C89B9BB47/checkout-payment?af=A515E466D"
"faewl-new","VIP","Emulador","https://lastlink.com/p/CA0E9D791/checkout-payment?af=A6B479148"
"faewl-new","PACK COMPLETO","Link único","https://lastlink.com/p/CB59164A1/checkout-payment?af=A2A92742E"
"faewl-new","SENSI permanente","Link único","https://lastlink.com/p/C3FDDF885/checkout-payment?af=A020FBF9E"
"manomax-new","VIP","Android","https://lastlink.com/p/CDFA080F3/checkout-payment?af=A81853074"
"manomax-new","VIP","iPhone","https://lastlink.com/p/C8AB55390/checkout-payment?af=AEF2A4687"
"manomax-new","VIP","Emulador","https://lastlink.com/p/C067C6DB7/checkout-payment?af=AFF5778F9"
"manomax-new","PACK COMPLETO","Link único","https://lastlink.com/p/C1EA2AE46/checkout-payment?af=A8EBB6CD5"
"manomax-new","SENSI permanente","Link único","https://lastlink.com/p/CFF902DF1/checkout-payment?af=A220160FB"
"drey-new","VIP","Android","https://lastlink.com/p/CB3A7098C/checkout-payment?af=AB4D65643"
"drey-new","VIP","iPhone","https://lastlink.com/p/CC7F13D7F/checkout-payment?af=ADC886819"
"drey-new","VIP","Emulador","https://lastlink.com/p/CAB88112A/checkout-payment?af=A9FA1D35D"
"drey-new","PACK COMPLETO","Link único","https://lastlink.com/p/CA9625A8B/checkout-payment?af=A31B7F298"
"drey-new","SENSI permanente","Link único","https://lastlink.com/p/C725B72FD/checkout-payment?af=A1D778A13"
"ldzinn-new","VIP","Android","https://lastlink.com/p/C0D8A7268/checkout-payment?af=A6F786517"
"ldzinn-new","VIP","iPhone","https://lastlink.com/p/CCDF3E1E5/checkout-payment?af=A5F6F89D8"
"ldzinn-new","VIP","Emulador","https://lastlink.com/p/C9BD699A5/checkout-payment?af=AC7325BA6"
"ldzinn-new","PACK COMPLETO","Link único","https://lastlink.com/p/C25E963F9/checkout-payment?af=A7FBA1195"
"ldzinn-new","SENSI permanente","Link único","https://lastlink.com/p/C08A86114/checkout-payment?af=AB0E169ED"
"astorga-new","VIP","Android","https://lastlink.com/p/CBE451EA7/checkout-payment?af=A23040B60"
"astorga-new","VIP","iPhone","https://lastlink.com/p/CAA571D8E/checkout-payment?af=A9E11C1DB"
"astorga-new","VIP","Emulador","https://lastlink.com/p/CFDEAD457/checkout-payment?af=A366850AB"
"astorga-new","PACK COMPLETO","Link único","https://lastlink.com/p/CEC9588A3/checkout-payment?af=AF534485F"
"astorga-new","SENSI permanente","Link único","https://lastlink.com/p/CD75B4259/checkout-payment?af=A31A67D1E"
"nawt-new","VIP","Android","https://lastlink.com/p/CCB5B6342/checkout-payment?af=A4D681125"
"nawt-new","VIP","iPhone","https://lastlink.com/p/CCB9A6331/checkout-payment?af=A9F2CDED0"
"nawt-new","VIP","Emulador","https://lastlink.com/p/CB1081595/checkout-payment?af=A12A6D7A3"
"nawt-new","PACK COMPLETO","Link único","https://lastlink.com/p/C59734827/checkout-payment?af=AE8EBAE78"
"nawt-new","SENSI permanente","Link único","https://lastlink.com/p/CEA3816BC/checkout-payment?af=A260762B6"
"mendes-new","VIP","Android","https://lastlink.com/p/C99CA5C3F/checkout-payment?af=A1B016B28"
"mendes-new","VIP","iPhone","https://lastlink.com/p/C210A51D4/checkout-payment?af=A9F893F1B"
"mendes-new","VIP","Emulador","https://lastlink.com/p/C92FD8972/checkout-payment?af=A7128BDD7"
"mendes-new","PACK COMPLETO","Link único","https://lastlink.com/p/C59734827/checkout-payment?af=AE8EBAE78"
"mendes-new","SENSI permanente","Link único","https://lastlink.com/p/C5C8FCE08/checkout-payment?af=A5B68778D"
"play-vendas","VIP","Android","https://lastlink.com/p/CE0F30EAA/checkout-payment?af=AC66EE9A9"
"play-vendas","VIP","iPhone","https://lastlink.com/p/C12E95650/checkout-payment?af=AD54CB472"
"play-vendas","VIP","Emulador","https://lastlink.com/p/CDB277158/checkout-payment?af=A3A5C7908"
"play-vendas","PACK COMPLETO","Link único","https://lastlink.com/p/C04FFC02C/checkout-payment?af=ABBC40805"
"play-vendas","SENSI permanente","Link único","https://lastlink.com/p/C588F78D7/checkout-payment?af=AA511D2BF"
"mazoti-vendas","VIP","Android","https://lastlink.com/p/CDAEE6B03/checkout-payment?af=AE7E4EC63"
"mazoti-vendas","VIP","iPhone","https://lastlink.com/p/C5F273B18/checkout-payment?af=AAB383629"
"mazoti-vendas","VIP","Emulador","https://lastlink.com/p/C28092889/checkout-payment?af=A7F497F90"
"mazoti-vendas","PACK COMPLETO","Link único","https://lastlink.com/p/C36F98178/checkout-payment?af=AE0FE973F"
"mazoti-vendas","SENSI permanente","Link único","https://lastlink.com/p/C8262C0AE/checkout-payment?af=A5FE8B59E"
"mazoti-vendas","VIP","Link único","https://lastlink.com/p/CEA311D4F/checkout-payment?af=AC17386FD"
"mazoti-vendas","VIP","Link único","https://lastlink.com/p/C30857846/checkout-payment?af=AEE4BADEC"
"mazoti-vendas","VIP","Link único","https://lastlink.com/p/C85A7D4A5/"
"mazoti-vendas","VIP","Link único","https://lastlink.com/p/CF50BF937/checkout-payment?af=AA085A344"
"mazoti-vendas","VIP","Link único","https://pay.zouti.com.br/checkout"
"venas-new","VIP","Android","https://lastlink.com/p/C757C2D0D/checkout-payment?af=A70A4EBCC"
"venas-new","VIP","Emulador","https://lastlink.com/p/CE468D6BA/checkout-payment?af=A02206565"
"venas-new","PACK COMPLETO","Link único","https://lastlink.com/p/C59734827/checkout-payment?af=AE8EBAE78"
"venas-new","SENSI permanente","Link único","https://lastlink.com/p/C98476AE0/checkout-payment?af=A16D9A2D8"
"wyus-new","VIP","Android","https://lastlink.com/p/C2ADAC427/checkout-payment?af=A967719DC"
"wyus-new","VIP","iPhone","https://lastlink.com/p/C4282F86D/checkout-payment?af=AD81007F7"
"wyus-new","VIP","Emulador","https://lastlink.com/p/C9333BB44/checkout-payment?af=A3E1755EF"
"wyus-new","PACK COMPLETO","Link único","https://lastlink.com/p/CAA2849EF/checkout-payment?af=AC99814B8"
"wyus-new","SENSI permanente","Link único","https://lastlink.com/p/CB2B26056/checkout-payment?af=A3435A8C5"
"dak-new","VIP","Android","https://lastlink.com/p/C06E3273A/checkout-payment?af=A486254D7"
"dak-new","VIP","iPhone","https://lastlink.com/p/C44E91C36/checkout-payment?af=AB4EA6F03"
"dak-new","VIP","Emulador","https://lastlink.com/p/CCE8F4AFE/checkout-payment?af=AAEFD2241"
"dak-new","PACK COMPLETO","Link único","https://lastlink.com/p/C54BD4934/checkout-payment?af=A8435042C"
"dak-new","SENSI permanente","Link único","https://lastlink.com/p/C76BD55B9/checkout-payment?af=A5661D48F"
"deusa-new","VIP","Android","https://lastlink.com/p/CEA316F52/checkout-payment?af=AFBD5CA52"
"deusa-new","VIP","iPhone","https://lastlink.com/p/CDB6A593D/checkout-payment?af=A387B723A"
"deusa-new","VIP","Emulador","https://lastlink.com/p/C10147183/checkout-payment?af=AC6907595"
"deusa-new","PACK COMPLETO","Link único","https://lastlink.com/p/CA8BA6F99/checkout-payment?af=AA00893AA"
"deusa-new","SENSI permanente","Link único","https://lastlink.com/p/C77730078/checkout-payment?af=A3B306894"
"xarada-new","VIP","Android","https://lastlink.com/p/C3E33CDEA/checkout-payment?af=A06118B88"
"xarada-new","VIP","iPhone","https://lastlink.com/p/CAF465B9A/checkout-payment?af=A61039698"
"xarada-new","VIP","Emulador","https://lastlink.com/p/C2C9E1B0B/checkout-payment?af=A93642331"
"xarada-new","PACK COMPLETO","Link único","https://lastlink.com/p/C9B0C921E/checkout-payment?af=A94A5FBA4"
"xarada-new","SENSI permanente","Link único","https://lastlink.com/p/CBDED2644/checkout-payment?af=AA9604208"
"xnapp-new","VIP","Android","https://lastlink.com/p/C6A394BD0/checkout-payment?af=ACF10089D"
"xnapp-new","VIP","iPhone","https://lastlink.com/p/C9C7AEF00/checkout-payment?af=AC77C5C6E"
"xnapp-new","VIP","Emulador","https://lastlink.com/p/C2B89DCD2/checkout-payment?af=A99370475"
"xnapp-new","PACK COMPLETO","Link único","https://lastlink.com/p/CD4D693C2/checkout-payment?af=AF251A655"
"xnapp-new","SENSI permanente","Link único","https://lastlink.com/p/C8D58FC29/checkout-payment?af=A22BC4F16"
"miguel-new","VIP","Android","https://lastlink.com/p/C08E0642F/checkout-payment?af=ABD0A5EFA"
"miguel-new","VIP","iPhone","https://lastlink.com/p/C03B94157/checkout-payment?af=A7EA4093D"
"miguel-new","VIP","Emulador","https://lastlink.com/p/C3D0EA9C9/checkout-payment?af=AEE675918"
"miguel-new","PACK COMPLETO","Link único","https://lastlink.com/p/CAA2849EF/checkout-payment?af=AB7856125"
"miguel-new","SENSI permanente","Link único","https://lastlink.com/p/C4EE50775/checkout-payment?af=AF1F46E50"
"guardian-new","VIP","Android","https://lastlink.com/p/CCD24E1AD/checkout-payment?af=AFBF7D4C6"
"guardian-new","VIP","iPhone","https://lastlink.com/p/C2A74CB39/checkout-payment?af=A7A89CE93"
"guardian-new","VIP","Emulador","https://lastlink.com/p/C915AC544/checkout-payment?af=A4AB4E70E"
"guardian-new","PACK COMPLETO","Link único","https://lastlink.com/p/C1E0A3F94/checkout-payment?af=A83A1A093"
"guardian-new","SENSI permanente","Link único","https://lastlink.com/p/CD1AA1476/checkout-payment?af=AAA0A5F29"
"guardian-new","VIP","Link único","https://lastlink.com/p/CD38F63CA/checkout-payment/"
"fenix-new","VIP","Android","https://lastlink.com/p/C0E2EBE69/checkout-payment?af=A8492F139"
"fenix-new","VIP","iPhone","https://lastlink.com/p/C8533C633/checkout-payment?af=ACDF4FAD2"
"fenix-new","VIP","Emulador","https://lastlink.com/p/C30518B0C/checkout-payment?af=ADAE99C2B"
"fenix-new","PACK COMPLETO","Link único","https://lastlink.com/p/CFDD7CEDF/checkout-payment?af=A0C9A524C"
"fenix-new","SENSI permanente","Link único","https://lastlink.com/p/C1B107A45/checkout-payment?af=AAD3A7705"
"laraxmvp-new","VIP","Android","https://lastlink.com/p/C08E0642F/checkout-payment?af=A369DE83F"
"laraxmvp-new","VIP","iPhone","https://lastlink.com/p/C03B94157/checkout-payment?af=AA68B2A53"
"laraxmvp-new","VIP","Emulador","https://lastlink.com/p/C3D0EA9C9/checkout-payment?af=A3F3658AF"
"laraxmvp-new","PACK COMPLETO","Link único","https://lastlink.com/p/CAA2849EF/checkout-payment?af=A5C29436D"
"laraxmvp-new","SENSI permanente","Link único","https://lastlink.com/p/C4EE50775/checkout-payment?af=A90579874"
"morais-new","VIP","Android","https://lastlink.com/p/C08E0642F/checkout-payment?af=A0A7354AE"
"morais-new","VIP","iPhone","https://lastlink.com/p/C03B94157/checkout-payment?af=AA0ECFCD7"
"morais-new","VIP","Emulador","https://lastlink.com/p/C3D0EA9C9/checkout-payment?af=ADBBDFE76"
"morais-new","PACK COMPLETO","Link único","https://lastlink.com/p/CAA2849EF/checkout-payment?af=A7098A781"
"morais-new","SENSI permanente","Link único","https://lastlink.com/p/C4EE50775/checkout-payment?af=A48CFADBD"
"danone-new","VIP","Android","https://lastlink.com/p/C08E0642F/checkout-payment?af=A8A762534"
"danone-new","VIP","iPhone","https://lastlink.com/p/C03B94157/checkout-payment?af=AA0C6028F"
"danone-new","VIP","Emulador","https://lastlink.com/p/C3D0EA9C9/checkout-payment?af=A64846336"
"danone-new","PACK COMPLETO","Link único","https://lastlink.com/p/CAA2849EF/checkout-payment?af=A62D7A519"
"danone-new","SENSI permanente","Link único","https://lastlink.com/p/C4EE50775/checkout-payment?af=AA6FAEC7F"
"nunex-new","VIP","Android","https://lastlink.com/p/C75215DFD?af=AB9605662"
"nunex-new","VIP","iPhone","https://lastlink.com/p/CD488CC85?af=A3649777A"
"nunex-new","VIP","Emulador","https://lastlink.com/p/C64CC5098?af=A4A8AB758"
"nunex-new","PACK COMPLETO","Link único","https://lastlink.com/p/C240F4C5B?af=AD127A57C"
"nunex-new","SENSI permanente","Link único","https://lastlink.com/p/CEE407610?af=AC378ACB2"
"madu-new","VIP","Android","https://lastlink.com/p/CDC57F497?af=A655171E5"
"madu-new","VIP","iPhone","https://lastlink.com/p/CC328C1B0?af=A8F3CF9CF"
"madu-new","VIP","Emulador","https://lastlink.com/p/C7F58B311?af=ABD90C982"
"madu-new","PACK COMPLETO","Link único","https://lastlink.com/p/C58440C8C?af=AF4DA2A40"
"madu-new","SENSI permanente","Link único","https://lastlink.com/p/C5A9EE7A8?af=AF6C1C682"
